ID,Time,Type,Destination,Carriages,Platform,Information
1621M,06:25,0,佐伯,3,1,停車駅は、佐伯までの各駅です。
1623M,06:42,0,幸崎,,1,停車駅は、幸崎までの各駅です。
5001M,07:05,20,,,1,
4621M,07:18,0,佐伯,2,1,停車駅は、佐伯までの各駅です。
4623M,07:27,0,臼杵,,1,停車駅は、臼杵までの各駅です。
4625M,07:54,0,幸崎,2,1,停車駅は、幸崎までの各駅です。
5003M,08:22,20,,,1,
4627M,08:27,0,臼杵,,1,停車駅は、臼杵までの各駅です。
4629M,08:57,0,幸崎,,1,停車駅は、幸崎までの各駅です。
4631M,09:21,0,佐伯,3,1,停車駅は、佐伯までの各駅です。
4633M,09:57,0,臼杵,,1,停車駅は、臼杵までの各駅です。
5005M,10:13,20,,,1,
1625M,10:43,0,幸崎,,1,停車駅は、幸崎までの各駅です。
4635M,11:31,0,佐伯,2,1,停車駅は、佐伯までの各駅です。
4637M,11:56,0,幸崎,,1,停車駅は、幸崎までの各駅です。
5007M,12:13,20,,,1,
4639M,12:33,0,佐伯,2,1,停車駅は、佐伯までの各駅です。
4641M,12:58,0,幸崎,,1,停車駅は、幸崎までの各駅です。
4643M,13:29,0,臼杵,,1,停車駅は、臼杵までの各駅です。
4645M,13:52,0,臼杵,,1,停車駅は、臼杵までの各駅です。
5009M,14:13,20,,,1,
4647M,14:34,0,佐伯,3,1,停車駅は、佐伯までの各駅です。
4649M,15:17,0,幸崎,,1,停車駅は、幸崎までの各駅です。
4651M,15:31,0,佐伯,3,1,停車駅は、佐伯までの各駅です。
1627M,15:50,0,臼杵,,1,停車駅は、臼杵までの各駅です。
5011M,16:15,20,,,1,
4653M,16:18,0,佐伯,2,1,停車駅は、佐伯までの各駅です。
4655M,16:29,0,大在,3,1,停車駅は、大在までの各駅です。
4657M,16:56,0,幸崎,2,1,停車駅は、幸崎までの各駅です。
5013M,17:12,20,,,1,
1631M,17:18,0,大在,2,1,停車駅は、大在までの各駅です。
4659M,17:28,0,佐伯,3,1,停車駅は、佐伯までの各駅です。
4661M,17:56,0,佐伯,3,1,停車駅は、佐伯までの各駅です。
5015M,18:12,20,,,1,
1635M,18:17,0,幸崎,,1,停車駅は、幸崎までの各駅です。
1637M,18:29,0,佐伯,2,1,停車駅は、佐伯までの各駅です。
4663M,18:50,0,臼杵,,1,停車駅は、臼杵までの各駅です。
4665M,18:56,0,幸崎,,1,停車駅は、幸崎までの各駅です。
3041M,19:09,20,,,1,
4667M,19:22,0,幸崎,,1,停車駅は、幸崎までの各駅です。
1639M,19:49,0,佐伯,2,1,停車駅は、佐伯までの各駅です。
4669M,20:15,0,幸崎,,1,停車駅は、幸崎までの各駅です。
5017M,20:25,20,,,1,
1641M,20:39,0,佐伯,,1,停車駅は、佐伯までの各駅です。
4671M,21:19,0,幸崎,2,1,停車駅は、幸崎までの各駅です。
4673M,21:54,0,佐伯,2,1,停車駅は、佐伯までの各駅です。
4675M,22:26,0,佐伯,4,1,停車駅は、佐伯までの各駅です。津久見・佐伯方面は本日の最終列車となります。
4677M,22:55,0,幸崎,,1,停車駅は、幸崎までの各駅です。
1643M,23:37,0,臼杵,,1,停車駅は、臼杵までの各駅です。本日の最終列車となります。